time,CSIRO-MK3-6-0,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0
2001.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0
2002.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0
2003.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0
2004.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0
2005.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0
2006.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0
2007.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0
2008.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0
2009.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0
2010.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0
2011.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0
2012.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0
2013.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0
2014.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0
2015.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0
2016.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0
2017.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0
2018.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0
2019.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
