time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
