time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
