time,CANESM5,MRI-ESM2-0,CESM2-WACCM,IPSL-CM6A-LR
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,831422900000.0,836024500000.0,833043400000.0,824203600000.0
2022.0,814230140000.0,828426400000.0,798152650000.0,803177800000.0
2023.0,799158240000.0,813731900000.0,776454800000.0,786781700000.0
2024.0,776902300000.0,787711200000.0,757386250000.0,774322700000.0
2025.0,757294240000.0,761812200000.0,728344800000.0,758911800000.0
2026.0,739446500000.0,739496760000.0,708462840000.0,733881570000.0
2027.0,723325500000.0,731510540000.0,687093840000.0,718787900000.0
2028.0,701956800000.0,713620500000.0,660032650000.0,689041400000.0
2029.0,676676400000.0,693241250000.0,629990800000.0,665646900000.0
2030.0,650571300000.0,675320230000.0,598293350000.0,638004950000.0
2031.0,627652800000.0,652797100000.0,583711200000.0,603555950000.0
2032.0,596358900000.0,627394200000.0,563649500000.0,584425300000.0
2033.0,569613160000.0,607263100000.0,540682900000.0,567528460000.0
2034.0,550092500000.0,598495300000.0,516213080000.0,559126800000.0
2035.0,534527600000.0,592143800000.0,486696520000.0,543022020000.0
2036.0,513390500000.0,578404200000.0,466628740000.0,527552580000.0
2037.0,497006120000.0,564820000000.0,444560700000.0,505815240000.0
2038.0,474671020000.0,539703600000.0,425688700000.0,495133500000.0
2039.0,457184440000.0,524694060000.0,410118160000.0,475422560000.0
2040.0,430412530000.0,502148830000.0,397729920000.0,457610200000.0
2041.0,403114230000.0,480512670000.0,379479300000.0,440308100000.0
2042.0,381326660000.0,457819980000.0,358995100000.0,412209680000.0
2043.0,359979120000.0,444006200000.0,345340100000.0,392711670000.0
2044.0,344698800000.0,429942200000.0,332055280000.0,371547100000.0
2045.0,329853040000.0,408000700000.0,314841700000.0,351244650000.0
2046.0,311524460000.0,392981640000.0,302153860000.0,339533330000.0
2047.0,297086800000.0,377139330000.0,287383520000.0,323977100000.0
2048.0,284899670000.0,359123650000.0,268936230000.0,312122930000.0
2049.0,271449690000.0,343540170000.0,255126670000.0,302951700000.0
2050.0,259403250000.0,330448700000.0,237058830000.0,286552560000.0
2051.0,246165140000.0,311920850000.0,224061460000.0,271468280000.0
2052.0,230510950000.0,301510720000.0,210653270000.0,260869900000.0
2053.0,221914530000.0,287042270000.0,201642820000.0,248167890000.0
2054.0,211615140000.0,274604240000.0,188476980000.0,233270300000.0
2055.0,202354250000.0,261697200000.0,177544250000.0,221335580000.0
2056.0,189811260000.0,250017330000.0,164299470000.0,213771270000.0
2057.0,177433540000.0,245758750000.0,150451570000.0,200894090000.0
2058.0,166959250000.0,236515080000.0,137565360000.0,190131880000.0
2059.0,155900770000.0,227899180000.0,129456546000.0,181700530000.0
2060.0,142296710000.0,219324190000.0,121562420000.0,175701600000.0
2061.0,132942280000.0,211808000000.0,114660570000.0,165158580000.0
2062.0,125449760000.0,204495900000.0,104685500000.0,155486860000.0
2063.0,115104170000.0,197774490000.0,96335260000.0,146930120000.0
2064.0,104975475000.0,190451940000.0,89484990000.0,137882550000.0
2065.0,97823840000.0,187234390000.0,81653230000.0,130381370000.0
2066.0,88633100000.0,182519700000.0,76689590000.0,123602450000.0
2067.0,81231495000.0,176431960000.0,71157180000.0,116719480000.0
2068.0,75993980000.0,172904700000.0,64491290000.0,109813820000.0
2069.0,70471655000.0,166901830000.0,59793820000.0,102454650000.0
2070.0,64936305000.0,162554310000.0,55372820000.0,96980260000.0
2071.0,58839360000.0,158794290000.0,52335247000.0,91855930000.0
2072.0,53040790000.0,154486800000.0,49665310000.0,84965425000.0
2073.0,49559660000.0,147349030000.0,45233852000.0,79512740000.0
2074.0,44567343000.0,144606100000.0,41785260000.0,73215090000.0
2075.0,41549095000.0,140651920000.0,39154647000.0,67321614000.0
2076.0,38068090000.0,138753160000.0,37071598000.0,64717840000.0
2077.0,35737200000.0,134522170000.0,34888794000.0,60458700000.0
2078.0,32659239000.0,131539400000.0,32555022000.0,56428995000.0
2079.0,31107870000.0,126790900000.0,31234394000.0,52657103000.0
2080.0,29293928000.0,123066335000.0,29093894000.0,49452605000.0
2081.0,27926140000.0,119712230000.0,27380111000.0,46519628000.0
2082.0,27021113000.0,113763640000.0,26205490000.0,43785347000.0
2083.0,25467812000.0,111716246000.0,24933982000.0,41571586000.0
2084.0,24355076000.0,111613200000.0,23712184000.0,39487095000.0
2085.0,24090403000.0,108556894000.0,22835173000.0,37733528000.0
2086.0,23560976000.0,106309160000.0,22491378000.0,36455367000.0
2087.0,22169614000.0,103138620000.0,21584974000.0,34654118000.0
2088.0,21150497000.0,101244360000.0,21692013000.0,32533107000.0
2089.0,20364460000.0,98351990000.0,21366792000.0,32959711000.0
2090.0,20306420000.0,97495530000.0,20765964000.0,31628702000.0
2091.0,19959867000.0,94056310000.0,20085152000.0,31079102000.0
2092.0,19720780000.0,92740440000.0,19746240000.0,30376073000.0
2093.0,18830460000.0,92337800000.0,19904123000.0,30078482000.0
2094.0,18820495000.0,91300350000.0,19170468000.0,28832470000.0
2095.0,18714628000.0,90058680000.0,18867646000.0,28600599000.0
2096.0,19100334000.0,87939850000.0,19096922000.0,27968987000.0
2097.0,18339492000.0,86629286000.0,18864478000.0,27276950000.0
2098.0,17818866000.0,85596800000.0,19085048000.0,26454063000.0
2099.0,17986593000.0,85699820000.0,18855182000.0,26064564000.0
2100.0,18132668000.0,85106060000.0,19117945000.0,25753752000.0
