time,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,CANESM5
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,257897070000.0,257638170000.0,259975950000.0,253962940000.0
2022.0,257432270000.0,254097670000.0,259277260000.0,250013580000.0
2023.0,253507880000.0,251665660000.0,257606340000.0,242093930000.0
2024.0,250677150000.0,248182520000.0,252060160000.0,236377260000.0
2025.0,245921900000.0,244464270000.0,248295110000.0,231522680000.0
2026.0,243238600000.0,242885080000.0,242417370000.0,227938730000.0
2027.0,237857880000.0,241431580000.0,237388020000.0,224019120000.0
2028.0,232012480000.0,240845100000.0,235314410000.0,215275370000.0
2029.0,227396750000.0,234987850000.0,232873510000.0,208499250000.0
2030.0,223967800000.0,230864390000.0,227082470000.0,202896570000.0
2031.0,219935870000.0,228564750000.0,225000130000.0,194114370000.0
2032.0,213434430000.0,224758220000.0,221239900000.0,188545020000.0
2033.0,210214760000.0,220289170000.0,217400340000.0,185364800000.0
2034.0,208064170000.0,215747580000.0,213164830000.0,181989150000.0
2035.0,202327030000.0,213925000000.0,207964700000.0,176964550000.0
2036.0,199318440000.0,209693870000.0,205733990000.0,170974460000.0
