time,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
2012.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0
2013.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0
2014.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44611377000000.0,44558482000000.0,44613290000000.0,44610047000000.0
2022.0,44494376000000.0,44451770000000.0,44367444000000.0,44471916000000.0
2023.0,44383206000000.0,44334737000000.0,44225622000000.0,44426143000000.0
2024.0,44253800000000.0,44302920000000.0,44114507000000.0,44415763000000.0
2025.0,44181730000000.0,44179783000000.0,43981652000000.0,44292697000000.0
2026.0,44076040000000.0,44034710000000.0,43662147000000.0,44286310000000.0
2027.0,43823024000000.0,43954940000000.0,43630752000000.0,44283474000000.0
2028.0,43670984000000.0,43763520000000.0,43514776000000.0,44245570000000.0
2029.0,43579225000000.0,43727290000000.0,43503095000000.0,44147440000000.0
2030.0,43503130000000.0,43712768000000.0,43378250000000.0,44162657000000.0
2031.0,43431615000000.0,43535500000000.0,43180620000000.0,44051470000000.0
2032.0,43329310000000.0,43429933000000.0,42950550000000.0,43965080000000.0
2033.0,43261046000000.0,43298534000000.0,42714926000000.0,43891206000000.0
2034.0,43169130000000.0,43154695000000.0,42606490000000.0,43795727000000.0
2035.0,43006384000000.0,42948660000000.0,42470948000000.0,43716420000000.0
2036.0,42823194000000.0,42701307000000.0,42271520000000.0,43589527000000.0
2037.0,42624325000000.0,42540400000000.0,42101975000000.0,43582690000000.0
2038.0,42326055000000.0,42451380000000.0,41860280000000.0,43452637000000.0
2039.0,42103086000000.0,42307127000000.0,41721858000000.0,43363206000000.0
2040.0,41846143000000.0,42247114000000.0,41537430000000.0,43312644000000.0
2041.0,41705785000000.0,42092923000000.0,41359900000000.0,43177386000000.0
2042.0,41431423000000.0,41919732000000.0,41250740000000.0,42974070000000.0
2043.0,41252570000000.0,41846265000000.0,41116183000000.0,42828540000000.0
2044.0,40959550000000.0,41751948000000.0,40904245000000.0,42661780000000.0
2045.0,40685902000000.0,41587400000000.0,40629490000000.0,42439300000000.0
2046.0,40512896000000.0,41433386000000.0,40326165000000.0,42247756000000.0
2047.0,40278720000000.0,41101580000000.0,40073844000000.0,42080390000000.0
2048.0,40068643000000.0,40861980000000.0,39849490000000.0,41732150000000.0
2049.0,39768680000000.0,40639930000000.0,39700107000000.0,41495374000000.0
2050.0,39471960000000.0,40448520000000.0,39615386000000.0,41322680000000.0
2051.0,39134786000000.0,40268657000000.0,39480157000000.0,41134430000000.0
2052.0,38843042000000.0,40131950000000.0,39199780000000.0,40975740000000.0
2053.0,38488397000000.0,39917270000000.0,38865885000000.0,40834560000000.0
2054.0,38151284000000.0,39717100000000.0,38559120000000.0,40595863000000.0
2055.0,37928584000000.0,39365190000000.0,38339227000000.0,40415806000000.0
2056.0,37554926000000.0,39165070000000.0,38049086000000.0,40152230000000.0
2057.0,37152630000000.0,38860160000000.0,37793925000000.0,39812065000000.0
2058.0,36847976000000.0,38578076000000.0,37625453000000.0,39566270000000.0
2059.0,36473810000000.0,38386500000000.0,37503415000000.0,39378496000000.0
2060.0,36222592000000.0,38168710000000.0,37394816000000.0,39063285000000.0
2061.0,36031353000000.0,37957160000000.0,37163760000000.0,38840945000000.0
2062.0,35781666000000.0,37670894000000.0,36911990000000.0,38649907000000.0
2063.0,35418370000000.0,37570545000000.0,36666513000000.0,38484945000000.0
2064.0,35076226000000.0,37367025000000.0,36393342000000.0,38229050000000.0
2065.0,34732253000000.0,36974337000000.0,36121250000000.0,37866330000000.0
2066.0,34376293000000.0,36640560000000.0,35930170000000.0,37604116000000.0
2067.0,34010063000000.0,36370676000000.0,35683276000000.0,37301950000000.0
