time,CESM2-WACCM,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55079776000.0,55018447000.0,55375643000.0,53036680000.0
2022.0,55403140000.0,54078830000.0,55792714000.0,53789720000.0
2023.0,54827037000.0,52949017000.0,54907994000.0,53038854000.0
2024.0,54624186000.0,51331070000.0,53489160000.0,52556640000.0
2025.0,53963460000.0,49714266000.0,51786908000.0,53481830000.0
2026.0,54663340000.0,47395783000.0,50263410000.0,52871287000.0
2027.0,54087954000.0,46083020000.0,50188636000.0,51221357000.0
2028.0,52880884000.0,44292410000.0,49708360000.0,52348117000.0
2029.0,52104483000.0,42313814000.0,48612340000.0,52452760000.0
2030.0,51232834000.0,41210233000.0,48433795000.0,51439350000.0
2031.0,51198920000.0,41298452000.0,47301485000.0,50975805000.0
2032.0,50108506000.0,40778530000.0,46760900000.0,50751185000.0
2033.0,49090740000.0,39910120000.0,46142560000.0,51557327000.0
2034.0,47442334000.0,38970495000.0,45678500000.0,50491280000.0
2035.0,47262060000.0,38141166000.0,45985670000.0,49471740000.0
2036.0,45753420000.0,37695443000.0,44830855000.0,49882690000.0
2037.0,44411080000.0,37328065000.0,42969928000.0,50579640000.0
2038.0,44074640000.0,35938046000.0,41370640000.0,50545914000.0
2039.0,43112180000.0,34619270000.0,39958585000.0,49698450000.0
2040.0,40695525000.0,33426162000.0,38655726000.0,48674435000.0
2041.0,40535523000.0,32743707000.0,37103290000.0,49299186000.0
2042.0,40377975000.0,32327846000.0,36309463000.0,48314280000.0
2043.0,39459520000.0,32171870000.0,36287010000.0,46988000000.0
2044.0,38797410000.0,31827780000.0,35888157000.0,46187360000.0
2045.0,37480337000.0,31295486000.0,35120652000.0,46633574000.0
2046.0,36392534000.0,31159222000.0,34916184000.0,46911820000.0
2047.0,35175960000.0,29886224000.0,34167923000.0,47373533000.0
2048.0,35212153000.0,28482275000.0,32860260000.0,46826766000.0
