time,MRI-ESM2-0,CESM2-WACCM,CANESM5,IPSL-CM6A-LR
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13723577000000.0,13751796000000.0,13706651000000.0,13740140000000.0
2022.0,13707210000000.0,13724037000000.0,13664748000000.0,13710640000000.0
2023.0,13659571000000.0,13703588000000.0,13611781000000.0,13698124000000.0
2024.0,13581124000000.0,13695544000000.0,13550181000000.0,13683950000000.0
2025.0,13561241000000.0,13675423000000.0,13491529000000.0,13656734000000.0
2026.0,13522816000000.0,13662245000000.0,13395153000000.0,13647032000000.0
2027.0,13483320000000.0,13645135000000.0,13289539000000.0,13623572000000.0
2028.0,13427217000000.0,13632310000000.0,13176346000000.0,13595443000000.0
2029.0,13366251000000.0,13611868000000.0,13089391000000.0,13577150000000.0
2030.0,13331401000000.0,13614664000000.0,12989467000000.0,13544135000000.0
2031.0,13265689000000.0,13605903000000.0,12869904000000.0,13492881000000.0
2032.0,13205694000000.0,13574160000000.0,12775626000000.0,13467796000000.0
2033.0,13133099000000.0,13556129000000.0,12667643000000.0,13437166000000.0
2034.0,13052268000000.0,13542373000000.0,12558566000000.0,13410766000000.0
2035.0,12994272000000.0,13531528000000.0,12433777000000.0,13375419000000.0
2036.0,12922008000000.0,13514007000000.0,12325511000000.0,13355306000000.0
2037.0,12837699000000.0,13486484000000.0,12196696000000.0,13331900000000.0
2038.0,12729365000000.0,13442601000000.0,12060838000000.0,13302341000000.0
2039.0,12652765000000.0,13421516000000.0,11906230000000.0,13266221000000.0
2040.0,12553453000000.0,13411758000000.0,11766295000000.0,13217006000000.0
2041.0,12435377000000.0,13383021000000.0,11640282000000.0,13176018000000.0
2042.0,12291437000000.0,13346530000000.0,11522617000000.0,13129529000000.0
2043.0,12174635000000.0,13345780000000.0,11377146000000.0,13099037000000.0
2044.0,12093186000000.0,13322456000000.0,11224264000000.0,13055075000000.0
2045.0,12002235000000.0,13302602000000.0,11101227000000.0,13010772000000.0
2046.0,11905702000000.0,13279465000000.0,10962994000000.0,12962715000000.0
2047.0,11827694000000.0,13272286000000.0,10829057000000.0,12911305000000.0
