time,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,MRI-ESM2-0
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7260270500000.0,7275043400000.0,7239433000000.0,7263055500000.0
2022.0,7254180000000.0,7259001700000.0,7199293000000.0,7245704700000.0
2023.0,7249692000000.0,7251419000000.0,7139865000000.0,7212973400000.0
2024.0,7238996500000.0,7236175300000.0,7079442000000.0,7153081400000.0
2025.0,7235240500000.0,7227295000000.0,6995352000000.0,7120307600000.0
2026.0,7231472000000.0,7219672000000.0,6915201000000.0,7075078000000.0
2027.0,7204249000000.0,7209562400000.0,6823184700000.0,7036936000000.0
2028.0,7187644500000.0,7207203600000.0,6735294600000.0,6992755000000.0
2029.0,7172436000000.0,7196880000000.0,6648540700000.0,6947767600000.0
2030.0,7137906400000.0,7187075700000.0,6572377400000.0,6891759500000.0
2031.0,7107983000000.0,7169589600000.0,6468478000000.0,6852289500000.0
2032.0,7084391300000.0,7157466500000.0,6386703000000.0,6808568600000.0
2033.0,7054849700000.0,7138432000000.0,6285879700000.0,6766521000000.0
2034.0,7042244300000.0,7123982400000.0,6193737000000.0,6720417000000.0
2035.0,7021077000000.0,7119653300000.0,6077592600000.0,6645911000000.0
2036.0,6993969000000.0,7095274400000.0,5972206000000.0,6602026000000.0
2037.0,6966377000000.0,7083443400000.0,5845297400000.0,6534245400000.0
2038.0,6952832000000.0,7057119400000.0,5710477300000.0,6468338000000.0
2039.0,6913619000000.0,7037389000000.0,5572137600000.0,6382381000000.0
2040.0,6868037500000.0,7016484400000.0,5443885000000.0,6273619000000.0
2041.0,6825403000000.0,6997735400000.0,5309996000000.0,6169974300000.0
2042.0,6793908500000.0,6983078000000.0,5183346600000.0,6062416600000.0
2043.0,6762229000000.0,6987132000000.0,5048537000000.0,5955515300000.0
2044.0,6726627000000.0,6968142000000.0,4916384400000.0,5876872000000.0
2045.0,6686894000000.0,6957969700000.0,4779139400000.0,5796053000000.0
2046.0,6638091000000.0,6933487000000.0,4621542600000.0,5707338400000.0
2047.0,6602695400000.0,6912763000000.0,4474790000000.0,5621717400000.0
2048.0,6544159700000.0,6887689000000.0,4310750500000.0,5515506000000.0
2049.0,6506133600000.0,6872958000000.0,4151007500000.0,5401238600000.0
2050.0,6461352000000.0,6846156000000.0,4004969400000.0,5332247500000.0
2051.0,6394237000000.0,6804096000000.0,3848856400000.0,5241246000000.0
2052.0,6343491600000.0,6741562500000.0,3713008700000.0,5111776500000.0
2053.0,6290164700000.0,6693379000000.0,3574558000000.0,5013048000000.0
2054.0,6238935000000.0,6626682600000.0,3431702000000.0,4905967300000.0
2055.0,6177591000000.0,6599371400000.0,3284713000000.0,4831326500000.0
2056.0,6123941300000.0,6551249000000.0,3144245600000.0,4741900000000.0
2057.0,6086770000000.0,6484230000000.0,3007877200000.0,4646733600000.0
